"","country.x","condoms","lubricants","prep","pep","needle","ost","naloxone","pit","cbt","lpt","st","apn","art","adherence","pmtct","sti","anc","lawsb","lawss","trainhcw","trainofficers","engage","services","empowerment","violencep","violencem","alpha3","pop","country.y","mention"
"113","Liberia",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"LBR","pwid","Liberia",1
"114","Madagascar",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"MDG","pwid","Madagascar",1
"115","Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MWI","pwid","Malawi",0
"116","Mali",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,"MLI","pwid","Mali",1
"117","Mauritania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MRT","pwid","Mauritania",0
"118","Mauritius",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,"MUS","pwid","Mauritius",1
"119","Mozambique",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MOZ","pwid","Mozambique",1
"120","Namibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"NAM","pwid","Nambia",1
"121","Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NER","pwid","Niger",1
"122","Nigeria",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"NGA","pwid","Nigeria",1
"123","Rwanda",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RWA","pwid","Rwanda",1
"124","Sao Tome and Principe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STP","pwid","Sao Tome and Principe",1
"125","Senegal",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"SEN","pwid","Senegal",1
"126","Seychelles",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SYC","pwid","Seychelles",1
"127","Sierra Leone",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,"SLE","pwid","Sierra Leone",1
"128","South Africa",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"ZAF","pwid","South Africa",1
"129","South Sudan",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SSD","pwid","South Sudan",1
"130","Swaziland",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,"SWZ","pwid","Swaziland",1
"131","Togo",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,"TGO","pwid","Togo",1
"132","Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UGA","pwid","Uganda",1
"133","Tanzania, United Republic of",1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"TZA","pwid","United Republic of Tanzania",1
"134","Zambia",1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,"ZMB","pwid","Zambia",1
"135","Zimbabwe",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ZWE","pwid","Zimbabwe",0
"136","Algeria",1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,"DZA","sw","Algeria",1
"137","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AGO","sw","Angola",1
"138","Benin",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"BEN","sw","Benin",1
"139","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BWA","sw","Botswana",1
"140","Burkina Faso",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"BFA","sw","Burkina Faso",1
"141","Burundi",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,"BDI","sw","Burundi",1
"142","Cape Verde",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CPV","sw","Cape Verde",1
"143","Cameroon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,"CMR","sw","Cameroon",1
"144","Central African Republic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"CAF","sw","Central African Republic",1
